i;nbseat;nb_added;execution_time
0;1;1;0.002
1;1;1;0.002
2;1;1;0.002
3;1;1;0.002
4;1;1;0.002
5;1;1;0.002
6;1;1;0.002
7;1;1;0.002
8;1;1;0.002
9;1;1;0.003
10;1;1;0.002
11;1;1;0.002
12;1;1;0.001
13;1;1;0.001
14;1;1;0.001
15;1;1;0.001
16;1;1;0.002
17;1;1;0.002
18;1;1;0.002
19;1;1;0.001
20;1;1;0.002
21;1;1;0.002
22;1;1;0.001
23;1;1;0.002
24;1;1;0.002
25;1;1;0.001
26;1;1;0.001
27;1;1;0.001
28;1;1;0.001
29;1;1;0.002
30;1;1;0.002
31;1;1;0.001
32;1;1;0.002
33;1;1;0.001
34;1;1;0.002
35;1;1;0.002
36;1;1;0.002
37;1;1;0.003
38;1;1;0.002
39;1;1;0.001
40;1;1;0.001
41;1;1;0.001
42;1;1;0.002
43;1;1;0.001
44;1;1;0.002
45;1;1;0.002
46;1;1;0.002
47;1;1;0.001
48;1;1;0.002
49;1;1;0.001
50;1;1;0.002
51;1;1;0.001
52;1;1;0.002
53;1;1;0.002
54;1;1;0.002
55;1;1;0.001
56;1;1;0.001
57;1;1;0.002
58;1;1;0.001
59;1;1;0.002
60;1;1;0.006
61;1;1;0.002
62;1;1;0.003
63;1;1;0.004
64;1;1;0.002
65;1;1;0.001
66;1;1;0.002
67;1;1;0.001
68;1;1;0.001
69;1;1;0.002
70;1;1;0.001
71;1;1;0.002
72;1;1;0.002
73;1;1;0.002
74;1;1;0.001
75;1;1;0.001
76;1;1;0.002
77;1;1;0.001
78;1;1;0.002
79;1;1;0.001
80;1;1;0.002
81;1;1;0.002
82;1;1;0.002
83;1;1;0.001
84;1;1;0.001
85;1;1;0.001
86;1;1;0.001
87;1;1;0.002
88;1;1;0.001
89;1;1;0.001
90;1;1;0.001
91;1;1;0.001
92;1;1;0.002
93;1;1;0.002
94;1;1;0.005
95;1;1;0.002
96;1;1;0.003
97;1;1;0.003
98;1;1;0.002
99;1;1;0.002
